# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 50
41 8.1 1.01832 113.64
42 8.3 1.02531 122.427
43 8.5 1.02131 131.606
44 8.7 0.999001 141.012
45 8.9 0.968372 150.554
46 9.1 0.985034 160.701
47 9.3 0.998719 171.446
48 9.5 0.989283 182.552
49 9.7 1.00636 194.331
50 9.9 0.977465 206.248
1000 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.44891 0.339757
6 1.1 2.11763 0.650964
7 1.3 2.39436 1.14204
8 1.5 0.700895 1.33333
9 1.7 0.651771 1.56174
10 1.9 0.773061 1.90007
11 2.1 0.381894 2.10421
12 2.3 0.521027 2.43826
13 2.5 0.57109 2.87081
14 2.7 0.484807 3.29907
15 2.9 0.416066 3.72305
16 3.1 0.37639 4.16131
17 3.3 0.753047 5.15489
18 3.5 0.987847 6.62099
19 3.7 1.2317 8.66381
20 3.9 1.22407 10.9193
21 4.1 1.27372 13.5132
22 4.3 1.21346 16.2313
23 4.5 1.19647 19.1663
24 4.7 1.12349 22.1727
25 4.9 1.07293 25.2934
26 5.1 1.03801 28.5639
27 5.3 1.03332 32.0799
28 5.5 0.932273 35.4961
29 5.7 0.951794 39.242
30 5.9 0.904955 43.0578
31 6.1 0.946358 47.3233
32 6.3 0.927613 51.783
33 6.5 0.923853 56.5111
34 6.7 0.956688 61.7131
35 6.9 0.976049 67.3419
36 7.1 1.01419 73.5346
37 7.3 1.04563 80.2841
38 7.5 1.01952 87.2305
39 7.7 1.03464 94.661
40 7.9 1.01804 102.357
41 8.1 1.04222 110.64
42 8.3 1.02305 119.176
43 8.5 1.00712 127.99
44 8.7 1.00978 137.248
45 8.9 0.990201 146.748
46 9.1 0.970924 156.487
47 9.3 1.00265 166.991
48 9.5 1.00463 177.973
49 9.7 0.983672 189.183
50 9.9 0.984975 200.877
1100 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.61727 0.348323
6 1.1 2.15645 0.658101
7 1.3 2.40677 1.14061
8 1.5 0.749139 1.34047
9 1.7 0.716787 1.58601
10 1.9 0.784187 1.92148
11 2.1 0.393419 2.12705
12 2.3 0.512523 2.44825
13 2.5 0.588096 2.88365
14 2.7 0.530687 3.3419
15 2.9 0.402715 3.74304
16 3.1 0.332378 4.12134
17 3.3 0.70176 5.02641
18 3.5 0.934823 6.38258
19 3.7 1.15351 8.25268
20 3.9 1.23086 10.4697
21 4.1 1.255 12.9679
22 4.3 1.28769 15.7873
23 4.5 1.1877 18.6353
24 4.7 1.10243 21.5189
25 4.9 1.11119 24.6781
26 5.1 1.06145 27.9472
27 5.3 1.02921 31.3704
28 5.5 0.988413 34.9108
29 5.7 0.913966 38.4268
30 5.9 0.940685 42.3041
31 6.1 0.922139 46.3669
32 6.3 0.921025 50.6952
33 6.5 0.94113 55.4033
34 6.7 0.91909 60.2884
35 6.9 0.973199 65.7744
36 7.1 1.00071 71.7473
37 7.3 1.04233 78.3241
38 7.5 1.01942 85.1135
39 7.7 1.0247 92.3069
40 7.9 1.02506 99.8815
41 8.1 1.02854 107.872
42 8.3 1.02683 116.247
43 8.5 1.03932 125.138
44 8.7 1.01089 134.197
45 8.9 0.988341 143.466
46 9.1 0.985126 153.125
47 9.3 1.00009 163.366
48 9.5 1.00532 174.108
49 9.7 0.976976 184.992
50 9.9 0.979483 196.358
1200 50
1 0.1 0 0
2 0.3 0 0
3 0.5 0 0
4 0.7 0 0
5 0.9 3.59032 0.33833
6 1.1 2.29499 0.660956
7 1.3 2.50305 1.15203
8 1.5 0.73271 1.34333
9 1.7 0.881505 1.63883
10 1.9 0.743364 1.95004
11 2.1 0.343393 2.12562
12 2.3 0.586576 2.48537
13 2.5 0.610806 2.92791
14 2.7 0.54398 3.38758
15 2.9 0.374908 3.75303
16 3.1 0.319138 4.10849
17 3.3 0.64132 4.91792
18 3.5 0.875824 6.16131
19 3.7 1.05546 7.83583
20 3.9 1.24238 10.0257
21 4.1 1.27365 12.5068
22 4.3 1.28653 15.2634
23 4.5 1.19542 18.0685
24 4.7 1.18063 21.0906
25 4.9 1.10727 24.1713
26 5.1 1.05861 27.3619
27 5.3 1.04338 30.758
28 5.5 0.954227 34.1028
29 5.7 0.971489 37.7602
30 5.9 0.949218 41.5889
31 6.1 0.941307 45.6474
32 6.3 0.878459 49.6874
33 6.5 0.93692 54.2741
34 6.7 0.903231 58.9722
